2026-06-29 14:29:27,074 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-ADAPTIVE | subtask=1 | min=199ms | max=642ms | avg=284.93ms | windowEvents=30 | totalEvents=51
2026-06-29 14:29:27,166 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=0 | min=93ms | max=463ms | avg=214.20ms | windowEvents=50 | totalEvents=265
2026-06-29 14:29:27,166 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=1 | min=93ms | max=399ms | avg=200.33ms | windowEvents=43 | totalEvents=233
2026-06-29 14:29:27,202 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=0 | min=98ms | max=499ms | avg=224.20ms | windowEvents=50 | totalEvents=265
2026-06-29 14:29:27,202 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=1 | min=98ms | max=435ms | avg=208.30ms | windowEvents=43 | totalEvents=233
2026-06-29 14:29:27,394 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=0 | min=386ms | max=692ms | avg=502.36ms | windowEvents=50 | totalEvents=263
2026-06-29 14:29:27,394 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=1 | min=389ms | max=629ms | avg=499.09ms | windowEvents=44 | totalEvents=232
2026-06-29 14:29:27,472 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM100 | subtask=1 | min=497ms | max=940ms | avg=619.40ms | windowEvents=30 | totalEvents=51
2026-06-29 14:29:28,887 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=1 | min=192ms | max=434ms | avg=297.65ms | windowEvents=71 | totalEvents=309
2026-06-29 14:29:28,887 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=1 | min=182ms | max=344ms | avg=268.77ms | windowEvents=71 | totalEvents=309
